# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=medium (GCR=50%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-1.50C); solar_new = solar_openfield * irradiance_multiplier (0.50); wind_new = wind_openfield * wind_speed_multiplier (0.85). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: medium (ground_coverage_pct=50)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2019-08-02,33.78,26.03,4.05,5.52,0.0,001
2019-08-03,33.07,26.1,3.94,4.81,0.0,001
2019-08-04,33.38,25.83,3.9,4.96,0.0,001
2019-08-05,33.83,25.95,3.9,4.99,0.0,001
2019-08-06,31.88,25.44,3.94,5.81,0.0,001
2019-08-07,31.58,24.59,3.98,5.2,0.0,001
2019-08-08,31.39,25.38,3.9,3.78,0.0,001
2019-08-09,31.58,24.98,3.91,5.01,0.0,001
2019-08-10,32.4,25.85,4.06,3.41,0.0,001
2019-08-11,33.47,25.91,3.99,1.82,0.0,001
2019-08-12,34.6,27.1,3.96,1.49,0.0,001
2019-08-13,36.01,27.6,3.84,2.76,0.0,001
2019-08-14,34.0,25.08,3.82,3.6,0.0,001
2019-08-15,35.3,27.95,3.83,1.13,0.0,001
2019-08-16,35.73,28.34,3.71,1.55,0.0,001
2019-08-17,34.96,27.47,3.76,5.55,0.0,001
2019-08-18,32.0,25.82,3.88,5.74,0.0,001
2019-08-19,32.38,24.85,3.84,5.64,0.0,001
2019-08-20,32.34,24.6,3.86,5.41,0.0,001
2019-08-21,32.2,24.36,3.88,5.86,0.0,001
2019-08-22,34.01,24.83,3.76,6.46,0.0,001
2019-08-23,32.32,25.62,3.7,5.45,0.0,001
2019-08-24,33.11,25.81,3.68,3.29,0.0,001
2019-08-25,33.45,26.28,3.73,4.05,0.0,001
2019-08-26,33.56,26.01,3.74,5.91,0.0,001
2019-08-27,33.02,25.36,3.66,6.54,0.0,001
2019-08-28,31.81,25.15,3.64,6.94,0.0,001
2019-08-29,31.96,24.63,3.61,6.61,0.0,001
2019-08-30,32.89,24.94,3.55,5.92,0.0,001
2019-08-31,32.48,24.84,3.6,5.7,0.0,001
2019-09-01,32.55,24.55,3.53,6.31,0.0,001
2019-09-02,32.63,24.85,3.56,6.25,0.0,001
2019-09-03,32.12,24.48,3.56,6.3,0.0,001
2019-09-04,31.19,24.21,3.64,6.71,0.0,001
2019-09-05,31.97,23.85,3.63,5.69,0.0,001
2019-09-06,33.81,24.57,3.52,4.12,0.0,001
2019-09-07,32.76,25.57,3.54,4.85,0.0,001
2019-09-08,30.76,24.01,3.56,6.42,0.0,001
2019-09-09,30.6,22.67,3.46,5.47,0.0,001
2019-09-10,30.54,23.63,3.48,5.4,0.0,001
2019-09-11,31.14,24.02,3.56,5.17,0.0,001
2019-09-12,31.49,24.56,3.55,6.45,0.0,001
2019-09-13,30.54,21.59,3.56,4.96,0.0,001
2019-09-14,29.5,23.32,3.43,5.61,0.0,001
2019-09-15,29.92,22.89,3.36,4.88,0.0,001
2019-09-16,29.92,23.16,3.37,4.57,0.0,001
2019-09-17,31.34,22.93,3.3,5.36,0.0,001
2019-09-18,32.0,23.89,3.22,4.77,0.0,001
2019-09-19,32.43,23.88,3.17,6.17,0.0,001
2019-09-20,31.63,24.82,3.12,6.39,0.0,001
2019-09-21,30.67,24.08,3.2,7.29,0.0,001
2019-09-22,31.73,23.86,3.26,6.4,0.0,001
2019-09-23,30.82,22.86,3.26,5.23,0.0,001
2019-09-24,30.36,22.83,3.27,4.12,0.0,001
2019-09-25,29.7,21.41,3.4,5.41,0.0,001
2019-09-26,33.17,23.33,3.4,3.87,0.0,001
2019-09-27,31.38,23.45,3.28,3.88,0.0,001
2019-09-28,30.37,22.93,3.22,5.55,0.0,001
2019-09-29,28.91,22.05,3.22,4.87,0.0,001
2019-09-30,29.04,21.98,3.17,5.01,0.0,001
2019-10-01,29.31,21.88,3.12,5.24,0.0,001
2019-10-02,29.56,21.87,3.1,4.6,0.0,001
2019-10-03,30.75,23.33,3.02,4.22,0.0,001
2019-10-04,31.48,24.28,2.94,3.47,0.0,001
2019-10-05,31.67,23.74,2.8,4.05,0.0,001
2019-10-06,30.74,24.26,2.12,4.5,0.0,001
2019-10-07,29.99,22.57,2.95,3.5,0.0,001
2019-10-08,30.81,23.5,2.89,3.54,0.0,001
2019-10-09,32.15,23.8,2.72,4.33,0.0,001
2019-10-10,31.6,23.31,2.65,4.66,0.0,001
2019-10-11,31.21,23.98,2.78,5.16,0.0,001
2019-10-12,31.32,21.84,2.87,4.67,0.0,001
2019-10-13,29.7,22.13,2.86,3.7,0.0,001
2019-10-14,30.29,23.38,2.53,2.15,0.0,001
2019-10-15,31.5,25.06,1.6,3.74,0.12,001
2019-10-16,29.54,24.14,2.15,5.18,0.0,001
2019-10-17,30.05,23.08,2.43,4.5,0.0,001
2019-10-18,30.24,23.04,2.56,4.93,0.0,001
2019-10-19,32.01,22.7,2.74,3.27,0.0,001
2019-10-20,32.43,22.65,2.72,3.87,0.0,001
2019-10-21,30.63,22.75,2.59,3.04,0.0,001
2019-10-22,29.63,23.39,2.48,1.49,0.0,001
2019-10-23,27.19,20.86,2.54,3.96,0.02,001
2019-10-24,26.03,20.0,2.53,4.23,0.0,001
2019-10-25,26.66,19.79,2.41,3.5,0.0,001
2019-10-26,26.79,19.56,2.28,4.66,0.12,001
2019-10-27,26.94,20.49,2.15,4.36,0.01,001
2019-10-28,25.93,20.64,2.53,4.84,0.0,001
2019-10-29,24.63,19.9,2.4,5.2,0.0,001
2019-10-30,26.72,18.78,2.64,3.21,0.0,001
2019-10-31,27.49,19.56,2.58,4.04,0.0,001
2019-11-01,25.83,19.72,2.54,4.56,0.0,001
2019-11-02,27.58,19.03,2.58,2.72,0.0,001
2019-11-03,27.43,20.61,2.52,2.86,0.0,001
2019-11-04,27.98,20.2,2.52,2.64,0.0,001
2019-11-05,26.94,20.62,2.17,3.48,0.0,001
2019-11-06,25.78,19.84,2.42,3.47,0.0,001
2019-11-07,26.91,20.37,2.36,1.2,0.0,001
2019-11-08,27.16,20.89,2.2,2.62,0.0,001
2019-11-09,27.34,20.12,2.11,3.23,0.0,001
2019-11-10,26.9,20.96,2.12,2.19,0.07,001
2019-11-11,29.11,21.56,2.14,1.53,0.0,001
2019-11-12,28.74,22.12,2.22,2.0,0.0,001
2019-11-13,28.75,22.82,2.07,1.67,0.0,001
2019-11-14,28.41,22.32,2.0,1.46,0.07,001
2019-11-15,25.89,20.75,2.19,5.95,0.0,001
2019-11-16,25.44,17.82,2.22,4.75,0.0,001
2019-11-17,24.79,18.01,2.14,2.18,0.0,001
2019-11-18,25.61,20.03,2.06,3.17,0.0,001
2019-11-19,24.96,18.93,2.19,2.27,0.0,001
2019-11-20,24.33,18.06,2.28,1.94,0.0,001
2019-11-21,23.84,17.05,1.96,2.22,0.0,001
2019-11-22,24.04,18.44,2.16,2.55,0.0,001
2019-11-23,23.67,17.89,2.24,4.62,0.0,001
2019-11-24,24.15,16.2,2.22,3.98,0.0,001
2019-11-25,25.28,18.63,2.17,2.0,0.0,001
2019-11-26,26.99,19.44,2.06,3.26,0.0,001
2019-11-27,25.35,17.92,2.0,4.57,0.0,001
2019-11-28,22.86,16.24,2.09,4.62,0.0,001
2019-11-29,23.88,16.83,2.2,2.62,0.0,001
2019-11-30,23.55,17.35,2.19,2.48,0.0,001
